is_weekend,start_station,end_station,hour,omega
0,6,14,14,1.4
0,6,14,15,1.4
0,6,14,16,1.4
0,6,14,18,4.199999999999999
0,6,14,19,1.4
0,6,14,20,1.4
0,6,15,19,1.4
0,6,15,20,1.4
0,6,17,15,1.4
0,6,17,16,1.4
0,6,17,21,1.4
0,6,17,23,1.4
0,6,18,18,2.8
0,6,19,0,1.4
0,6,19,14,1.4
0,6,19,23,1.4
0,6,21,17,5.6
0,6,21,18,4.199999999999999
0,6,21,19,2.8
0,6,22,16,2.8
0,6,23,10,1.4
0,6,23,14,4.199999999999999
0,6,23,15,1.4
0,6,23,16,1.4
0,6,23,19,1.4
0,6,23,21,1.4
0,6,24,8,5.6
0,6,24,9,2.8
0,6,24,11,1.4
0,6,24,17,1.4
0,6,24,18,1.4
0,6,24,19,2.8
0,6,25,13,1.4
0,6,25,16,2.8
0,6,25,21,1.4
0,6,25,22,1.4
0,6,26,12,2.8
0,6,26,15,1.4
0,6,26,17,1.4
0,6,26,18,1.4
0,6,26,23,1.4
0,6,27,5,1.4
0,6,27,8,5.6
0,6,27,10,1.4
0,6,27,11,1.4
0,6,27,12,1.4
0,6,27,13,5.6
0,6,27,14,4.199999999999999
0,6,27,15,2.8
0,6,27,16,2.8
0,6,27,17,2.8
0,6,27,18,4.199999999999999
0,6,27,21,4.199999999999999
0,6,27,23,2.8
0,6,28,1,1.4
0,6,28,14,1.4
0,6,28,17,1.4
0,6,28,19,1.4
0,6,28,21,2.8
0,6,28,22,1.4
0,6,29,2,1.4
0,6,29,9,1.4
0,6,29,12,1.4
0,6,29,13,2.8
0,6,29,16,2.8
0,6,29,17,1.4
0,6,29,19,1.4
0,6,29,21,2.8
0,6,30,1,1.4
0,6,30,10,1.4
0,6,30,13,2.8
0,6,30,14,2.8
0,6,30,15,1.4
0,6,30,17,1.4
0,6,30,18,1.4
0,6,30,19,1.4
0,6,30,20,4.199999999999999
0,6,30,21,1.4
0,6,30,23,1.4
0,6,31,0,1.4
0,6,31,13,2.8
0,6,31,14,1.4
0,6,33,0,1.4
0,6,33,13,1.4
0,6,33,17,1.4
0,6,33,18,1.4
0,6,33,22,1.4
0,6,34,1,1.4
0,6,34,12,5.6
0,6,34,15,1.4
0,6,34,16,2.8
0,6,34,18,1.4
0,6,34,19,1.4
0,6,34,21,1.4
0,6,34,23,1.4
